Id,Label,Weight,color,modularity_class
1723,Kyuss,7,u,46
1724,Utopia,3,u,46
1725,David Grisman,7,u,46
1726,Mike Marshall,0,u,46
1727,Bernadette Peters,9,u,46
1728,Sutton Foster,0,u,46
1729,The Ames Brothers,3,v,47
1730,Dick Hyman,3,v,47
1731,Suzanne Ciani,2,v,47
1732,Berlin,4,u,46
1733,Soulive,0,u,46
1734,Jimmy McGriff,3,u,46
1735,The Crusaders,4,u,46
1736,"Medeski, Martin & Wood",4,u,46
1737,The Brand New Heavies,3,u,46
1738,Incognito,3,u,46
1739,Joe Sample,8,u,46
1740,The Big Bopper,3,P,15
1741,Beth Nielsen Chapman,0,u,46
1742,The Jordanaires,10,v,47
1743,Johnny Burnette,12,v,47
1744,Jim & Jesse,11,v,47
1745,The Stanley Brothers,27,v,47
1746,Edwin Starr,4,u,46
1747,Barrett Strong,6,j,35
1748,William Bell,5,u,46
1749,Bill Doggett,6,v,47
1750,Syl Johnson,3,u,46
1751,Brenton Wood,3,u,46
1752,Joe Simon,6,u,46
1753,Joan Baez,35,u,46
1754,Billy Bragg,19,u,46
1755,John Gorka,3,u,46
1756,Willie Nile,4,u,46
1757,Greg Brown,8,u,46
1758,Keith Urban,6,u,46
1759,Blake Shelton,1,u,46
1760,Gary Allan,3,u,46
1761,Earl Thomas Conley,9,u,46
1762,Vern Gosdin,10,u,46
1763,Guitar Slim,14,v,47
1764,Thad Jones,3,u,46
1765,Randy Newman,35,V,21
1766,Gerry Mulligan,14,u,46
1767,Gil Evans,36,u,46
1768,The Buckinghams,9,u,46
1769,John Martyn,17,u,46
1770,Prefab Sprout,9,u,46
1771,Susannah McCorkle,3,u,46
1772,Sylvia Telles,6,v,47
1773,Margaret Whiting,4,v,47
1774,Blossom Dearie,8,v,47
1775,Elis Regina,14,u,46
1776,June Christy,5,v,47
1777,Steven Wright,3,u,46
1778,Bob Newhart,4,v,47
1779,James Carr,6,u,46
1780,John Mellencamp,18,k,36
1781,Silverstein,0,h,33
1782,Sum 41,8,B,1
1783,The Get Up Kids,17,u,46
1784,Jimmy Eat World,30,B,1
1785,Marine Girls,1,u,46
1786,The Big Wu,0,u,46
1787,Silverchair,2,u,46
1788,The Black Crowes,8,u,46
1789,The Marshall Tucker Band,12,u,46
1790,James Gang,12,u,46
1791,Eric Burdon,11,d,29
1792,John Fogerty,9,O,14
1793,Rare Earth,7,u,46
1794,Humble Pie,20,u,46
1795,Derek & the Dominos,10,u,46
1796,Lowell George,1,u,46
1797,Savoy Brown,5,j,35
1798,Buddy Miles,5,u,46
1799,Blancmange,2,u,46
1800,KMFDM,8,u,46
1801,Soulwax,1,u,46
1802,Atreyu,0,u,46
1803,Madball,2,v,47
1804,Cradle of Filth,7,u,46
1805,Refused,10,u,46
1806,Debbie Reynolds,6,v,47
1807,Julie London,10,u,46
1808,Nana Mouskouri,8,u,46
1809,Marlene Dietrich,14,v,47
1810,Barbra Streisand,17,u,46
1811,Blu Cantrell,0,u,46
1812,Toni Braxton,14,u,46
1813,Betty Carter,5,u,46
1814,Switchfoot,3,u,46
1815,Jars of Clay,4,u,46
1816,Live,16,u,46
1817,Petra,11,u,46
1818,MxPx,13,h,33
1819,dc Talk,6,u,46
1820,Simple Plan,1,R,17
1821,Fastball,7,u,46
1822,Rancid,13,T,19
1823,blink-182,36,B,1
1824,Bowling for Soup,13,u,46
1825,Yellow Magic Orchestra,14,u,46
1826,Susumu Yokota,0,u,46
1827,Betty Harris,5,u,46
1828,Big Maybelle,9,v,47
1829,The Blackbyrds,2,u,46
1830,Simple Minds,5,u,46
1831,Magazine,11,u,46
1832,Kool & the Gang,16,u,46
1833,Steven Tyler,3,u,46
1834,Robert Plant,20,u,46
1835,Gary Moore,5,u,46
1836,David Gilmour,6,u,46
1837,Peter Green,6,u,46
1838,Meat Puppets,18,u,46
1839,Soul Asylum,9,u,46
1840,The Call,7,u,46
1841,Canned Heat,11,Y,24
1842,Sin Bandera,1,u,46
1843,The Angels,2,u,46
1844,The Lost Trailers,0,u,46
1845,The Charlie Daniels Band,4,v,47
1846,Maurice Jarre,7,v,47
1847,Thievery Corporation,5,G,6
1848,Bent,0,g,32
1849,J.J. Johnson,4,u,46
1850,Bob Brookmeyer,1,u,46
1851,Jack Kerouac,10,A,0
1852,Roy Harper,12,u,46
1853,The Monks,11,d,29
1854,The Red Krayola,9,u,46
1855,The Seeds,25,u,46
1856,Peter Hammill,12,u,46
1857,Charlotte Church,0,t,45
1858,The Corrs,1,t,45
1859,CÃ©line Dion,16,u,46
1860,Sarah Brightman,6,u,46
1861,Natalie Imbruglia,9,m,38
1862,Luciano Pavarotti,8,v,47
1863,Cecilia Bartoli,1,v,47
1864,Andrea Bocelli,6,u,46
1865,Loreena McKennitt,6,u,46
1866,Enya,6,u,46
1867,The Manhattans,4,u,46
1868,Carpenters,14,u,46
1869,Gerry & the Pacemakers,12,u,46
1870,The Cowsills,7,u,46
1871,The Beau Brummels,20,u,46
1872,Lou Christie,2,u,46
1873,Marco Antonio SolÃ­s,6,u,46
1874,Chayanne,1,u,46
1875,Miguel BosÃ©,1,v,47
1876,The Fixx,6,u,46
1877,Augustus Pablo,8,u,46
1878,Jackie Mittoo,7,u,46
1879,The Wailers,15,u,46
1880,Carmen Miranda,11,v,47
1881,Beth Carvalho,0,v,47
1882,Elizeth Cardoso,5,v,47
1883,Louis Prima,9,v,47
1884,Big Bad Voodoo Daddy,0,U,20
1885,"Harry Connick, Jr.",9,U,20
1886,Eden Ahbez,0,u,46
1887,Bloodstone,0,u,46
1888,The Andrews Sisters,6,v,47
1889,Rosemary Clooney,17,v,47
1890,Dan Hicks & His Hot Licks,4,v,47
1891,The Fantastic Four,0,u,46
1892,Don Omar,3,u,46
1893,Aventura,0,u,46
1894,Monchy & Alexandra,1,v,47
1895,Wynonie Harris,23,v,47
1896,Conflict,8,u,46
1897,The Casualties,0,C,2
1898,U.K. Subs,10,u,46
1899,The Headhunters,1,v,47
1900,Azymuth,0,u,46
1901,Tamba Trio,1,u,46
1902,Deodato,4,u,46
1903,Marcos Valle,7,u,46
1904,Blue States,0,o,40
1905,David Axelrod,7,u,46
1906,The Chambers Brothers,2,u,46
1907,The Coasters,22,u,46
1908,B*Witched,0,u,46
1909,Backstreet Boys,14,t,45
1910,Debbie Gibson,9,t,45
1911,The Skatalites,29,u,46
1912,Bob Andy,2,u,46
1913,Bob Moses,0,u,46
1914,Rahsaan Roland Kirk,8,u,46
1915,Bilal,2,u,46
1916,Eddie Kendricks,2,v,47
1917,B-Movie,1,u,46
1918,Bleu Edmondson,0,u,46
1919,The Flying Lizards,0,u,46
1920,Devo,19,u,46
1921,The Residents,13,A,0
1922,B.J. Thomas,2,u,46
1923,Charlie Rich,15,u,46
1924,Bill Anderson,0,v,47
1925,Betty Buckley,1,u,46
1926,Betty Everett,1,u,46
1927,Long John Baldry,2,v,47
1928,Pentangle,8,u,46
1929,Bob Mould,7,u,46
1930,Brian Wilson,18,u,46
1931,Del Shannon,13,u,46
1932,Dr. Feelgood,18,j,35
1933,Percy Mayfield,22,v,47
1934,Brinsley Schwarz,12,u,46
1935,Dan Penn,10,u,46
1936,Colin Blunstone,8,u,46
1937,Charlie Louvin,5,v,47
1938,The Faint,1,F,5
1939,Eurythmics,19,u,46
1940,Love and Rockets,5,u,46
1941,The The,7,u,46
1942,A Flock of Seagulls,9,u,46
1943,Death in Vegas,6,F,5
1944,Thomas Dolby,9,u,46
1945,The Chords,0,u,46
1946,Little Willie John,14,v,47
1947,The Lettermen,4,u,46
1948,Bernie Worrell,1,u,46
1949,The Sonics,15,l,37
1950,King Curtis,16,u,46
1951,Bleeding Through,1,u,46
1952,Emperor,4,a,26
1953,B.T. Express,0,u,46
1954,The Explosion,0,u,46
1955,The Business,4,u,46
1956,Blitz,4,u,46
1957,Autograph,0,u,46
1958,The Coral,0,u,46
1959,Julian Cope,6,u,46
1960,The Proclaimers,7,u,46
1961,The Strokes,17,u,46
1962,The Teardrop Explodes,16,u,46
1963,Stereophonics,3,u,46
1964,Mungo Jerry,2,u,46
1965,The Jackson 5,32,u,46
1966,The Whispers,8,u,46
1967,The Brothers Johnson,3,u,46
1968,DeBarge,6,u,46
1969,Morris Day,4,u,46
1970,The Modern Lovers,25,u,46
1971,Freddie Jackson,4,u,46
1972,Luther Vandross,38,u,46
1973,Lionel Richie,12,u,46
1974,Jon Lucien,7,M,12
1975,Baaba Maal,4,u,46
1976,Manu Dibango,7,u,46
1977,Hugh Masekela,5,u,46
1978,Orchestra Baobab,2,v,47
1979,The Penguins,9,v,47
1980,Johnny Kidd & the Pirates,11,u,46
1981,Dick Dale,16,u,46
1982,Beulah,4,u,46
1983,Yo La Tengo,15,u,46
1984,Babylon A.D.,0,u,46
1985,Mike Seeger,6,u,46
1986,Bachman-Turner Overdrive,10,u,46
1987,Bobby Rydell,1,u,46
1988,Avant,0,u,46
1989,Brian McKnight,19,u,46
1990,Avalon,0,u,46
1991,The Clientele,0,u,46
1992,The Walker Brothers,5,u,46
1993,Felt,5,u,46
1994,Chad & Jeremy,1,u,46
1995,Frankie Avalon,5,u,46
1996,Bobby Sherman,2,u,46
1997,Circle Jerks,22,u,46
1998,The Vibrators,3,u,46
1999,Stiff Little Fingers,20,u,46
2000,Blue Rodeo,2,u,46
2001,Ian Tyson,5,u,46
2002,My Chemical Romance,8,u,46
2003,The Receiving End of Sirens,0,u,46
2004,The Ravens,5,v,47
2005,The Hooters,0,u,46
2006,Jimmy Martin,10,u,46
2007,Flatt & Scruggs,32,u,46
2008,Chuck Willis,2,v,47
2009,Bill Henderson,0,v,47
2010,Dick Haymes,2,v,47
2011,Michael Ball,1,u,46
2012,Biffy Clyro,0,u,46
2013,Jeff Lynne,8,u,46
2014,"Bobby ""Boris"" Pickett",0,v,47
2015,Ahmad Jamal,19,u,46
2016,Bob James,9,u,46
2017,Vince Guaraldi,6,u,46
2018,Les McCann,9,V,21
2019,Ramsey Lewis,11,u,46
2020,Wynton Kelly,7,u,46
2021,Gene Harris,4,u,46
2022,The Congos,7,u,46
2023,Yabby You,1,v,47
2024,Bobby Bare,10,u,46
2025,Conway Twitty,30,u,46
2026,The Flys,0,u,46
2027,Paul Bley,8,u,46
2028,Barney Kessel,14,v,47
2029,Bola Sete,1,v,47
2030,Tal Farlow,14,v,47
2031,The Field Mice,2,u,46
2032,Billy Lee Riley,9,v,47
2033,Cisco Houston,10,v,47
2034,Ewan MacColl,28,v,47
2035,Roscoe Holcomb,14,v,47
2036,Elizabeth Cotten,16,v,47
2037,John Jacob Niles,6,v,47
2038,Mississippi Sheiks,3,v,47
2039,SeÃ¡n Ã“ Riada,3,v,47
2040,The Chieftains,14,v,47
2041,Los Fabulosos Cadillacs,3,u,46
2042,BabasÃ³nicos,0,u,46
2043,Oscar Lopez,2,v,47
2044,ManÃ¡,11,u,46
2045,The Chemical Brothers,19,u,46
2046,Happy Mondays,25,u,46
2047,Big Audio Dynamite,18,u,46
2048,This Mortal Coil,3,u,46
2049,M/A/R/R/S,7,u,46
2050,The Bobbettes,2,v,47
2051,Marty Stuart,3,u,46
2052,Eddie Rabbitt,12,u,46
2053,Joe Walsh,7,l,37
2054,Jimmy Raney,5,v,47
2055,Johnny Smith,5,v,47
2056,B2K,2,u,46
2057,Kenny G,4,u,46
2058,Jeff Lorber,1,u,46
2059,John Klemmer,5,u,46
2060,Lee Ritenour,3,u,46
2061,Narada Michael Walden,3,v,47
2062,Kashif,2,v,47
2063,Hank Crawford,8,u,46
2064,Tom Scott,2,u,46
2065,Lydia Lunch,8,u,46
2066,The Runaways,19,u,46
2067,Girlschool,3,u,46
2068,Peggy Seeger,5,v,47
2069,Paul Desmond,1,u,46
2070,Bob Marley & the Wailers,5,u,46
2071,Eddie Money,12,u,46
2072,Peter Frampton,7,u,46
2073,Meat Loaf,9,u,46
2074,Night Ranger,3,u,46
2075,Montrose,10,u,46
2076,Asia,5,u,46
2077,The Dubliners,10,v,47
2078,The Irish Rovers,1,v,47
2079,Bill Keith,0,v,47
2080,Earl Scruggs,3,v,47
2081,Roger Miller,16,u,46
2082,Johnny Horton,14,v,47
2083,Harry Chapin,8,u,46
2084,John Denver,8,u,46
2085,Dick Gregory,2,v,47
2086,Bill Cosby,9,u,46
2087,Mel Brooks,3,v,47
2088,Gossip,0,u,46
2089,'Til Tuesday,4,u,46
2090,The Breeders,6,u,46
2091,The White Stripes,10,u,46
2092,Big Mountain,0,u,46
2093,Third World,1,u,46
2094,The Selecter,10,T,19
2095,Israel Vibration,5,u,46
2096,Tommy James,3,v,47
2097,The Greenhornes,0,u,46
2098,The Fugitives,1,v,47
2099,The Gories,4,j,35
2100,Ian & Sylvia,18,u,46
2101,The Modernaires,2,v,47
2102,The Pied Pipers,3,v,47
2103,Il Divo,0,u,46
2104,Michael Crawford,3,u,46
2105,Bill Callahan,0,u,46
2106,Ernest Tubb,52,v,47
2107,The Kentucky Headhunters,1,u,46
2108,REO Speedwagon,13,u,46
2109,Ikon,0,u,46
2110,Martin Gore,1,u,46
2111,Psychic TV,7,u,46
2112,Circa Survive,0,u,46
2113,Finch,2,u,46
2114,UnderÃ¸ath,2,u,46
2115,The Handsome Family,0,h,33
2116,Delaney & Bonnie,7,u,46
2117,The Gap Band,5,u,46
2118,"Earth, Wind & Fire",35,u,46
2119,Archie Bell & the Drells,9,u,46
2120,Bob Schneider,0,h,33
2121,Bill Fay,0,u,46
2122,Dave Bartholomew,8,v,47
2123,Lloyd Price,8,v,47
2124,Kelly Rowland,1,u,46
2125,Beverley Knight,4,u,46
2126,The Cleftones,1,u,46
2127,Jon Foreman,0,u,46
2128,The Limeliters,6,u,46
2129,Bill Frisell,3,u,46
2130,Jim Hall,7,u,46
2131,Gary Burton,4,u,46
2132,Pat Martino,8,u,46
2133,Bobby Day,2,v,47
2134,Jesse Belvin,4,v,47
2135,The Hives,0,u,46
2136,The Electric Prunes,4,u,46
2137,The Real Kids,6,u,46
2138,Lyres,3,u,46
2139,Bill Bruford,0,u,46
2140,Soft Machine,23,u,46
2141,Skinny Puppy,14,u,46
2142,John Tesh,1,u,46
2143,Ken Elkinson,0,u,46
2144,Mikey Dread,1,u,46
2145,Cornell Campbell,3,u,46
2146,Alton Ellis,16,u,46
2147,The Jeff Healey Band,0,u,46
2148,Chris Rea,7,u,46
2149,Johnny Winter,17,u,46
2150,Bob Sinclar,1,u,46
2151,Bad Manners,7,T,19
2152,Prince Buster,17,A,0
2153,Millie Small,1,v,47
2154,Roxette,4,t,45
2155,Natalie Merchant,4,u,46
2156,Sophie B. Hawkins,1,t,45
2157,The Waterboys,11,u,46
2158,Ian Hunter,9,l,37
2159,Prince Far I,6,u,46
2160,Billy Ray Cyrus,5,u,46
2161,David Gates,2,v,47
2162,"Richard ""Groove"" Holmes",2,u,46
2163,Cowboy Troy,0,u,46
2164,Jerry Reed,7,u,46
2165,Big & Rich,2,u,46
2166,Junior Parker,8,v,47
2167,Brownie McGhee,4,v,47
2168,The Meters,29,u,46
2169,Bad English,0,u,46
2170,Ivie Anderson,4,v,47
2171,Bobby Short,2,v,47
2172,Information Society,0,u,46
2173,Heaven 17,4,u,46
2174,The Art of Noise,16,O,14
2175,King Pleasure,3,v,47
2176,Slim & Slam,1,v,47
2177,Bobby Vee,2,u,46
2178,Youth Group,0,u,46
2179,Badly Drawn Boy,3,o,40
2180,Alphaville,5,u,46
2181,The Commitments,0,u,46
2182,Johnny Nash,4,v,47
2183,Body Count,6,u,46
2184,The Communards,0,u,46
2185,Culture Club,11,u,46
2186,Inner Circle,1,u,46
2187,Bounty Killer,2,u,46
2188,Frankie Paul,9,u,46
2189,Wayne Smith,6,u,46
2190,Max Romeo,4,T,19
2191,A Certain Ratio,8,u,46
2192,Billy Joel,23,l,37
2193,Larry Norman,8,l,37
2194,Phil Keaggy,2,u,46
2195,Insane Clown Posse,0,u,46
2196,Rob Zombie,10,Y,24
2197,GWAR,6,u,46
2198,Kevin Ayers,9,u,46
2199,The Bonzo Dog Band,10,O,14
2200,The Living End,0,u,46
2201,Midnight Oil,5,u,46
2202,The Reverend Horton Heat,4,Y,24
2203,Stray Cats,1,j,35
2204,Kesha,1,t,45
2205,Peaches,4,u,46
2206,The Crew Cuts,1,v,47
2207,Billy Gilman,0,u,46
2208,John Michael Montgomery,7,u,46
2209,Boys Don't Cry,0,u,46
2210,The Libertines,5,u,46
2211,Sham 69,21,u,46
2212,Johnny Thunders & the Heartbreakers,10,d,29
2213,Anti-Nowhere League,5,u,46
2214,Gerry Rafferty,7,u,46
2215,Paul Winter,3,v,47
2216,Deuter,3,v,47
2217,Jermaine Jackson,6,u,46
2218,Keith Washington,2,u,46
2219,Ray Brown,11,u,46
2220,Bobby Hutcherson,3,u,46
2221,Milt Jackson,7,v,47
2222,Biosphere,0,u,46
2223,The Orb,8,u,46
2224,Cher,12,u,46
2225,Mel Tillis,6,v,47
2226,Hawkshaw Hawkins,4,v,47
2227,Michael Martin Murphey,3,u,46
2228,Mac McAnally,3,u,46
2229,Lee Greenwood,7,u,46
2230,Richard Marx,4,u,46
2231,Rick Springfield,9,u,46
2232,The Mavericks,8,u,46
2233,Bryan White,2,u,46
2234,Black Uhuru,7,u,46
2235,The Heptones,11,T,19
2236,Culture,2,u,46
2237,Billy Currington,0,u,46
2238,Roy Eldridge,17,v,47
2239,Kenny Loggins,0,u,46
2240,Alex de Grassi,1,u,46
2241,Duke Jordan,3,v,47
2242,Kenny Drew,0,u,46
2243,John Lewis,14,v,47
2244,Hampton Hawes,5,u,46
2245,Boney James,0,u,46
2246,Donald Byrd,6,u,46
2247,Ike Quebec,1,u,46
2248,Kenny Lattimore,0,u,46
2249,The Intruders,0,u,46
2250,Commissioned,5,u,46
2251,The Winans,9,u,46
2252,The Clark Sisters,3,v,47
2253,Charlie Walker,0,v,47
2254,Boyzone,7,u,46
2255,Jason Donovan,6,u,46
2256,Ian Dury,9,N,13
2257,Kevin Coyne,8,u,46
2258,The Foundations,1,v,47
2259,The Creation,9,u,46
2260,The Outsiders,1,u,46
2261,Sweet,24,u,46
2262,Argent,5,u,46
2263,Kirsty MacColl,1,u,46
2264,Maddy Prior,6,u,46
2265,Sandie Shaw,11,u,46
2266,Richard & Linda Thompson,6,u,46
2267,LCD Soundsystem,5,T,19
2268,Kele,0,u,46
2269,India.Arie,1,u,46
2270,Dionne Farris,1,v,47
2271,Cassandra Wilson,6,J,9
2272,Meshell Ndegeocello,6,u,46
2273,Michael Hedges,6,u,46
2274,Keller Williams,0,u,46
2275,Freddie Mercury,20,l,37
2276,Kleeer,1,u,46
2277,Iron and Wine,2,u,46
2278,Cat Power,19,m,38
2279,Bongzilla,0,u,46
2280,Crowbar,4,u,46
2281,Kelis,5,u,46
2282,Rick James,13,u,46
2283,Raphael Saadiq,15,u,46
2284,Millie Jackson,4,u,46
2285,Gene Pitney,12,u,46
2286,Aaron Neville,6,u,46
2287,The Gaylads,2,v,47
2288,Mighty Sparrow,7,u,46
2289,Lord Kitchener,8,v,47
2290,Wolfmother,0,u,46
2291,Cinderella,3,u,46
2292,Queens of the Stone Age,1,u,46
2293,Karla Bonoff,2,u,46
2294,Barbara Mandrell,9,u,46
2295,Irene Cara,4,u,46
2296,Children of Bodom,0,u,46
2297,Kelly Clarkson,4,t,45
2298,Deborah Cox,2,u,46
2299,Lita Ford,7,u,46
2300,Alanis Morissette,22,G,6
2301,P!nk,13,t,45
2302,The Knack,8,u,46
2303,The Knickerbockers,1,u,46
2304,Bay City Rollers,11,u,46
2305,Graham Parker,4,u,46
2306,The Nerves,5,u,46
2307,"Dave Dee, Dozy, Beaky, Mick & Tich",7,u,46
2308,The McCoys,1,v,47
2309,Sonny Bono,1,v,47
2310,Kem,0,u,46
2311,Al Jarreau,3,L,11
2312,Ill NiÃ±o,0,u,46
2313,Nada Surf,10,u,46
2314,The Juliana Theory,1,u,46
2315,Hank Ballard,9,v,47
2316,Kelly Price,2,u,46
2317,Foghat,3,u,46
2318,Hoobastank,1,u,46
2319,Tuck & Patti,6,u,46
2320,Kindred the Family Soul,0,u,46
2321,Womack & Womack,3,v,47
2322,The Jayhawks,9,u,46
2323,Gene Clark,9,u,46
2324,Michael Nesmith,6,u,46
2325,Billy Ocean,1,u,46
2326,King,0,u,46
2327,The Jesus Lizard,4,u,46
2328,The Jets,0,u,46
2329,The Osmonds,12,u,46
2330,The Five Stairsteps,3,u,46
2331,Sun,1,v,47
2332,Alla Rakha,3,v,47
2333,Collin Walcott,0,u,46
2334,Ali Akbar Khan,2,v,47
2335,The Legendary Pink Dots,7,u,46
2336,Amanda Palmer,0,t,45
2337,Christian Death,9,u,46
2338,Nina Hagen,9,u,46
2339,Chris Knight,0,u,46
2340,The Last Poets,2,J,9
2341,Archie Shepp,3,u,46
2342,Chely Wright,2,u,46
2343,Wynonna,12,u,46
2344,Todd Terry,8,u,46
2345,Black Box,1,u,46
2346,Giorgio Moroder,27,u,46
2347,Loleatta Holloway,1,u,46
2348,King Floyd,1,u,46
2349,Hawk Nelson,0,u,46
2350,Third Day,5,u,46
2351,Eddie & the Hot Rods,5,u,46
2352,Colosseum,1,u,46
2353,Freddie King,18,u,46
2354,James Horner,1,u,46
2355,Patrick Doyle,0,u,46
2356,John Williams,6,u,46
2357,The Dictators,8,u,46
2358,Chevelle,0,u,46
2359,Clutch,3,u,46
2360,Joe Strummer,8,u,46
2361,Black Grape,0,u,46
2362,Black Ivory,0,u,46
2363,King Radio,0,u,46
2364,Keyshia Cole,1,u,46
2365,Monica,11,u,46
2366,Aaliyah,27,u,46
2367,Xscape,4,u,46
2368,Christina Aguilera,23,t,45
2369,The Bottle Rockets,0,u,46
2370,Harold Melvin,8,v,47
2371,Black Label Society,0,u,46
2372,Monster Magnet,1,u,46
2373,Fu Manchu,1,u,46
2374,Inspiral Carpets,10,u,46
2375,The Stranglers,13,u,46
2376,Robert Palmer,8,u,46
2377,James Booker,5,u,46
2378,Harry Belafonte,12,v,47
2379,Black Oak Arkansas,3,u,46
2380,Bowery Electric,0,H,7
2381,Spiritualized,20,u,46
2382,Koffee Brown,0,u,46
2383,Tony! Toni! TonÃ©!,6,u,46
2384,Mint Condition,1,u,46
2385,Bow Wow Wow,7,u,46
2386,Adam Ant,8,u,46
2387,Mother Maybelle Carter,8,v,47
2388,Hank Thompson,17,v,47
2389,Clark Terry,8,v,47
2390,Zoot Sims,6,u,46
2391,Kenny Dorham,5,u,46
2392,Mickey & Sylvia,1,v,47
2393,The Rance Allen Group,2,u,46
2394,Imogen Heap,3,W,22
2395,Flora Purim,2,u,46
2396,Todd Edwards,3,u,46
2397,Laurie Anderson,5,u,46
2398,Kings of Convenience,1,u,46
2399,a-ha,4,u,46
2400,The Sea and Cake,5,u,46
2401,Art Garfunkel,8,u,46
2402,Aimee Mann,16,u,46
2403,Gong,9,I,8
2404,Bonobo,1,u,46
2405,Chico Buarque,8,u,46
2406,JoÃ£o Donato,2,v,47
2407,Dori Caymmi,3,u,46
2408,Luiz BonfÃ¡,7,v,47
2409,VinÃ­cius de Moraes,9,v,47
2410,Roberto Menescal,6,u,46
2411,Astrud Gilberto,21,u,46
2412,Interpol,2,h,33
2413,Catherine Wheel,7,u,46
2414,ESG,8,u,46
2415,Josef K,11,u,46
2416,Jerry Garcia,10,u,46
2417,A.C. Reed,1,u,46
2418,Son House,22,v,47
2419,Mississippi Fred McDowell,17,v,47
2420,Blackfoot,0,u,46
2421,Kinky,0,u,46
2422,Hubert Sumlin,12,v,47
2423,Kingdom Come,0,u,46
2424,Chris Hillman,1,u,46
2425,Pestilence,1,v,47
2426,Freedy Johnston,5,h,33
2427,Birdy,0,u,46
2428,Bonnie Tyler,5,u,46
2429,Bracket,0,h,33
2430,Superdrag,2,u,46
2431,The Muffs,6,u,46
2432,BlackHawk,0,u,46
2433,Carnivore,1,v,47
2434,Kings of Leon,7,u,46
2435,The Georgia Satellites,1,u,46
2436,Colin Hay,1,u,46
2437,Booker Ervin,0,u,46
2438,Kittie,1,u,46
2439,Con Funk Shun,0,u,46
2440,Kim Carnes,0,u,46
2441,Samiam,3,u,46
2442,BoySetsFire,1,u,46
2443,The International Submarine Band,1,u,46
2444,Ed Ames,1,v,47
2445,Lenny Welch,1,u,46
2446,Jerry Vale,1,u,46
2447,Al Martino,1,u,46
2448,Hawthorne Heights,0,u,46
2449,AFI,14,b,27
2450,Thursday,3,u,46
2451,Death Cab for Cutie,10,u,46
2452,Nazareth,8,u,46
2453,Atomic Rooster,7,u,46
2454,Uriah Heep,11,u,46
2455,Klaatu,1,u,46
2456,Jack Ingram,0,u,46
2457,Lionel Cartwright,1,v,47
2458,Radney Foster,1,u,46
2459,Hal Ketchum,1,v,47
2460,Henry Lee Summer,1,v,47
2461,kidneythieves,0,u,46
2462,Kix,1,u,46
2463,Vashti Bunyan,8,u,46
2464,Scandal,1,u,46
2465,Cornelius,4,p,41
2466,The Kills,1,n,39
2467,The Jon Spencer Blues Explosion,2,u,46
2468,India,0,u,46
2469,RubÃ©n Blades,13,u,46
2470,La Lupe,2,v,47
2471,The Long Winters,0,u,46
2472,Charlie Wilson,3,u,46
2473,Levi Stubbs,1,v,47
2474,Willie Hutch,2,u,46
2475,LaShun Pace,0,u,46
2476,Book of Love,0,u,46
2477,Chris Tomlin,0,u,46
2478,Mark Harris,1,v,47
2479,Michael Card,1,u,46
2480,Newsboys,5,u,46
2481,Labradford,1,u,46
2482,Chase,0,u,46
2483,Jay McShann,6,v,47
2484,Buck Clayton,3,v,47
2485,The Pussycat Dolls,0,u,46
2486,Wendy & Lisa,4,u,46
2487,Pharrell Williams,10,u,46
2488,Larry Heard,6,u,46
2489,LFO,1,u,46
2490,Ivy,1,u,46
2491,Control,0,u,46
2492,Charlie Ventura,1,v,47
2493,Jack Nitzsche,4,u,46
2494,Level 42,4,u,46
2495,The Rippingtons,1,u,46
2496,Gregory Abbott,1,u,46
2497,Ralph Tresvant,1,u,46
2498,Joe Pass,2,u,46
2499,Santo & Johnny,1,v,47
2500,Jack Off Jill,0,u,46
2501,Choking Victim,0,d,29
2502,Julio Iglesias,16,u,46
2503,Astor Piazzolla,4,v,47
2504,Bobby Vinton,4,u,46
2505,Jack Jones,1,u,46
2506,Robert Goulet,2,v,47
2507,Chuck Jackson,2,u,46
2508,Chris Kenner,3,v,47
2509,Gloria Lynne,1,v,47
2510,Hellhammer,6,u,46
2511,Raven,2,v,47
2512,Lani Hall,0,v,47
2513,Kate Wolf,1,u,46
2514,Christian McBride,0,u,46
2515,Charlie Haden,8,u,46
2516,Scott LaFaro,5,v,47
2517,Ron Carter,10,u,46
2518,Dave Holland,3,u,46
2519,Stanley Clarke,9,u,46
2520,Paul Chambers,4,v,47
2521,Hank Mobley,4,u,46
2522,Jaci Velasquez,0,u,46
2523,Jack DeJohnette,2,u,46
2524,Tony Williams,7,u,46
2525,The Easybeats,3,u,46
2526,Kottonmouth Kings,0,u,46
2527,The Mighty Mighty Bosstones,11,u,46
2528,Moondog,16,v,47
2529,Sun Ra,32,u,46
2530,Coheed and Cambria,1,u,46
2531,QueensrÃ¿che,5,u,46
2532,Every Avenue,3,v,47
2533,Dream Theater,6,u,46
2534,Collective Soul,12,u,46
2535,King's X,2,u,46
2536,Chris Botti,0,u,46
2537,Michael Bolton,8,u,46
2538,Fourplay,2,u,46
2539,Dave Koz,6,u,46
2540,Wizzard,4,v,47
2541,Cody ChesnuTT,1,u,46
2542,Cold,0,u,46
2543,Limp Bizkit,13,u,46
2544,Godsmack,3,u,46
2545,Krokus,0,u,46
2546,Colby O'Donis,0,u,46
2547,Usher,29,u,46
2548,Justin Timberlake,22,t,45
2549,*NSYNC,9,t,45
2550,Jonathan Winters,3,v,47
2551,Chris Cagle,1,u,46
