Id,Label,timeset,weight,color,modularity_class
1623,The Vandals,,15,u,14
1624,Johnny Otis,,10,v,0
1625,Songs: Ohia,,2,h,3
1626,"Bonnie ""Prince"" Billy",,4,u,3
1627,Red House Painters,,13,u,3
1628,Swell,,1,u,2
1629,Steve Roach,,2,u,2
1630,Cluster,,8,u,2
1631,Popol Vuh,,9,v,2
1632,The Black Dahlia Murder,,0,u,8
1633,Morbid Angel,,9,u,8
1634,Audioslave,,2,u,8
1635,Screaming Trees,,11,u,14
1636,Mudhoney,,14,u,8
1637,Green River,,4,u,8
1638,The Sound,,2,u,2
1639,Andrew W.K.,,0,Z,8
1640,Europe,,5,u,8
1641,Obituary,,1,a,8
1642,Foreigner,,13,u,8
1643,Nino Rota,,7,v,6
1644,Angelo Badalamenti,,5,v,2
1645,Bernard Herrmann,,16,v,6
1646,Solange,,0,u,1
1647,Patrice Rushen,,3,u,6
1648,The Kingston Trio,,21,u,3
1649,The Blues Project,,5,u,0
1650,Incubus,,9,u,8
1651,Audiovent,,0,u,8
1652,The Beta Band,,2,u,2
1653,The Incredible String Band,,22,u,3
1654,Beck,,27,u,2
1655,Moby,,6,u,2
1656,Jethro Tull,,14,u,8
1657,The Chantels,,12,v,1
1658,Angel,,0,u,8
1659,Jerry Lewis,,2,v,4
1660,Steve Martin,,10,u,4
1661,Richard Pryor,,9,u,4
1662,Monty Python,,2,v,4
1663,George Carlin,,12,u,4
1664,The Smothers Brothers,,4,u,3
1665,Susan Tedeschi,,2,u,0
1666,Koko Taylor,,6,u,0
1667,Big Brother & the Holding Company,,7,u,0
1668,Robert Cray,,4,u,0
1669,Junior Wells,,9,u,0
1670,Groove Armada,,4,u,2
1671,The Avalanches,,2,u,2
1672,DJ Shadow,,18,u,2
1673,The Spinners,,19,u,9
1674,The Dave Clark Five,,15,u,2
1675,Roy Orbison,,47,u,0
1676,Steven Curtis Chapman,,7,u,10
1677,Keith Green,,5,u,10
1678,Michael W. Smith,,15,u,10
1679,Angela McCluskey,,0,o,2
1680,Macy Gray,,3,u,1
1681,Sandy Denny,,13,u,3
1682,Beth Orton,,21,J,3
1683,Malvina Reynolds,,8,v,3
1684,Steve Wariner,,11,u,5
1685,Chet Atkins,,42,v,0
1686,Charley Pride,,12,u,5
1687,Don Williams,,18,u,5
1688,Marilyn Monroe,,12,u,1
1689,The Shirelles,,20,u,1
1690,The Music Machine,,8,u,0
1691,The Chocolate Watchband,,6,u,0
1692,Nico,,22,u,2
1693,Beth Hart,,1,u,3
1694,Swell Maps,,10,u,2
1695,J.B. Lenoir,,12,v,0
1696,Otis Rush,,26,u,0
1697,Celia Cruz,,21,v,7
1698,Angela Carrasco,,0,v,7
1699,Bill Monroe,,59,v,5
1700,The Louvin Brothers,,28,v,5
1701,Doc Watson,,23,u,5
1702,Leo Kottke,,7,u,3
1703,John Renbourn,,6,u,3
1704,John Fahey,,21,u,3
1705,Bukka White,,8,v,0
1706,Burl Ives,,21,v,3
1707,Grant Green,,7,u,6
1708,Sweetback,,0,u,1
1709,Otis Spann,,12,v,0
1710,Branford Marsalis,,0,u,6
1711,Jackie McLean,,8,u,6
1712,Joe Henderson,,6,u,6
1713,Los Lobos,,7,i,0
1714,Steve Vai,,2,u,0
1715,Eddie Van Halen,,6,u,0
1716,John McLaughlin,,10,u,6
1717,Robert Fripp,,20,u,2
1718,Al Di Meola,,3,u,0
1719,The Mars Volta,,1,f,8
1720,Egg,,2,u,2
1721,Shuggie Otis,,9,u,0
1722,Billy Cobham,,4,u,6
1723,Kyuss,,7,u,8
1724,Utopia,,3,u,8
1725,David Grisman,,7,u,5
1726,Mike Marshall,,0,u,5
1727,Bernadette Peters,,9,u,1
1728,Sutton Foster,,0,u,1
1729,The Ames Brothers,,3,v,1
1730,Dick Hyman,,3,v,6
1731,Suzanne Ciani,,2,v,6
1732,Berlin,,4,u,2
1733,Soulive,,0,u,9
1734,Jimmy McGriff,,3,u,6
1735,The Crusaders,,4,u,6
1736,"Medeski, Martin & Wood",,4,u,6
1737,The Brand New Heavies,,3,u,9
1738,Incognito,,3,u,9
1739,Joe Sample,,8,u,6
1740,The Big Bopper,,3,P,0
1741,Beth Nielsen Chapman,,0,u,3
1742,The Jordanaires,,10,v,5
1743,Johnny Burnette,,12,v,0
1744,Jim & Jesse,,11,v,5
1745,The Stanley Brothers,,27,v,5
1746,Edwin Starr,,4,u,9
1747,Barrett Strong,,6,j,9
1748,William Bell,,5,u,9
1749,Bill Doggett,,6,v,0
1750,Syl Johnson,,3,u,0
1751,Brenton Wood,,3,u,9
1752,Joe Simon,,6,u,9
1753,Joan Baez,,35,u,3
1754,Billy Bragg,,19,u,3
1755,John Gorka,,3,u,3
1756,Willie Nile,,4,u,3
1757,Greg Brown,,8,u,3
1758,Keith Urban,,6,u,5
1759,Blake Shelton,,1,u,5
1760,Gary Allan,,3,u,5
1761,Earl Thomas Conley,,9,u,5
1762,Vern Gosdin,,10,u,5
1763,Guitar Slim,,14,v,0
1764,Thad Jones,,3,u,6
1765,Randy Newman,,35,V,3
1766,Gerry Mulligan,,14,u,6
1767,Gil Evans,,36,u,6
1768,The Buckinghams,,9,u,0
1769,John Martyn,,17,u,3
1770,Prefab Sprout,,9,u,2
1771,Susannah McCorkle,,3,u,1
1772,Sylvia Telles,,6,v,7
1773,Margaret Whiting,,4,v,1
1774,Blossom Dearie,,8,v,1
1775,Elis Regina,,14,u,7
1776,June Christy,,5,v,1
1777,Steven Wright,,3,u,4
1778,Bob Newhart,,4,v,4
1779,James Carr,,6,u,9
1780,John Mellencamp,,18,k,0
1781,Silverstein,,0,h,14
1782,Sum 41,,8,B,14
1783,The Get Up Kids,,17,u,14
1784,Jimmy Eat World,,30,B,14
1785,Marine Girls,,1,u,2
1786,The Big Wu,,0,u,0
1787,Silverchair,,2,u,8
1788,The Black Crowes,,8,u,0
1789,The Marshall Tucker Band,,12,u,5
1790,James Gang,,12,u,0
1791,Eric Burdon,,11,d,0
1792,John Fogerty,,9,O,0
1793,Rare Earth,,7,u,9
1794,Humble Pie,,20,u,8
1795,Derek & the Dominos,,10,u,0
1796,Lowell George,,1,u,0
1797,Savoy Brown,,5,j,0
1798,Buddy Miles,,5,u,6
1799,Blancmange,,2,u,2
1800,KMFDM,,8,u,2
1801,Soulwax,,1,u,2
1802,Atreyu,,0,u,8
1803,Madball,,2,v,8
1804,Cradle of Filth,,7,u,8
1805,Refused,,10,u,14
1806,Debbie Reynolds,,6,v,1
1807,Julie London,,10,u,1
1808,Nana Mouskouri,,8,u,1
1809,Marlene Dietrich,,14,v,1
1810,Barbra Streisand,,17,u,1
1811,Blu Cantrell,,0,u,1
1812,Toni Braxton,,14,u,1
1813,Betty Carter,,5,u,1
1814,Switchfoot,,3,u,10
1815,Jars of Clay,,4,u,10
1816,Live,,16,u,8
1817,Petra,,11,u,10
1818,MxPx,,13,h,14
1819,dc Talk,,6,u,10
1820,Simple Plan,,1,R,14
1821,Fastball,,7,u,2
1822,Rancid,,13,T,14
1823,blink-182,,36,B,14
1824,Bowling for Soup,,13,u,14
1825,Yellow Magic Orchestra,,14,u,2
1826,Susumu Yokota,,0,u,2
1827,Betty Harris,,5,u,9
1828,Big Maybelle,,9,v,1
1829,The Blackbyrds,,2,u,9
1830,Simple Minds,,5,u,2
1831,Magazine,,11,u,2
1832,Kool & the Gang,,16,u,9
1833,Steven Tyler,,3,u,0
1834,Robert Plant,,20,u,3
1835,Gary Moore,,5,u,0
1836,David Gilmour,,6,u,0
1837,Peter Green,,6,u,0
1838,Meat Puppets,,18,u,2
1839,Soul Asylum,,9,u,14
1840,The Call,,7,u,2
1841,Canned Heat,,11,Y,0
1842,Sin Bandera,,1,u,7
1843,The Angels,,2,u,8
1844,The Lost Trailers,,0,u,5
1845,The Charlie Daniels Band,,4,v,5
1846,Maurice Jarre,,7,v,6
1847,Thievery Corporation,,5,G,2
1848,Bent,,0,g,2
1849,J.J. Johnson,,4,u,6
1850,Bob Brookmeyer,,1,u,6
1851,Jack Kerouac,,10,A,2
1852,Roy Harper,,12,u,3
1853,The Monks,,11,d,0
1854,The Red Krayola,,9,u,2
1855,The Seeds,,25,u,0
1856,Peter Hammill,,12,u,2
1857,Charlotte Church,,0,t,1
1858,The Corrs,,1,t,3
1859,CÃ©line Dion,,16,u,1
1860,Sarah Brightman,,6,u,1
1861,Natalie Imbruglia,,9,m,1
1862,Luciano Pavarotti,,8,v,1
1863,Cecilia Bartoli,,1,v,1
1864,Andrea Bocelli,,6,u,1
1865,Loreena McKennitt,,6,u,3
1866,Enya,,6,u,3
1867,The Manhattans,,4,u,9
1868,Carpenters,,14,u,1
1869,Gerry & the Pacemakers,,12,u,0
1870,The Cowsills,,7,u,0
1871,The Beau Brummels,,20,u,2
1872,Lou Christie,,2,u,1
1873,Marco Antonio SolÃ­s,,6,u,7
1874,Chayanne,,1,u,7
1875,Miguel BosÃ©,,1,v,7
1876,The Fixx,,6,u,2
1877,Augustus Pablo,,8,u,13
1878,Jackie Mittoo,,7,u,13
1879,The Wailers,,15,u,13
1880,Carmen Miranda,,11,v,7
1881,Beth Carvalho,,0,v,7
1882,Elizeth Cardoso,,5,v,7
1883,Louis Prima,,9,v,9
1884,Big Bad Voodoo Daddy,,0,U,9
1885,"Harry Connick, Jr.",,9,U,1
1886,Eden Ahbez,,0,u,7
1887,Bloodstone,,0,u,9
1888,The Andrews Sisters,,6,v,1
1889,Rosemary Clooney,,17,v,1
1890,Dan Hicks & His Hot Licks,,4,v,5
1891,The Fantastic Four,,0,u,9
1892,Don Omar,,3,u,13
1893,Aventura,,0,u,13
1894,Monchy & Alexandra,,1,v,13
1895,Wynonie Harris,,23,v,9
1896,Conflict,,8,u,14
1897,The Casualties,,0,C,14
1898,U.K. Subs,,10,u,14
1899,The Headhunters,,1,v,7
1900,Azymuth,,0,u,7
1901,Tamba Trio,,1,u,7
1902,Deodato,,4,u,6
1903,Marcos Valle,,7,u,7
1904,Blue States,,0,o,2
1905,David Axelrod,,7,u,2
1906,The Chambers Brothers,,2,u,9
1907,The Coasters,,22,u,1
1908,B*Witched,,0,u,1
1909,Backstreet Boys,,14,t,9
1910,Debbie Gibson,,9,t,1
1911,The Skatalites,,29,u,13
1912,Bob Andy,,2,u,13
1913,Bob Moses,,0,u,6
1914,Rahsaan Roland Kirk,,8,u,6
1915,Bilal,,2,u,1
1916,Eddie Kendricks,,2,v,1
1917,B-Movie,,1,u,2
1918,Bleu Edmondson,,0,u,5
1919,The Flying Lizards,,0,u,2
1920,Devo,,19,u,2
1921,The Residents,,13,A,2
1922,B.J. Thomas,,2,u,5
1923,Charlie Rich,,15,u,5
1924,Bill Anderson,,0,v,5
1925,Betty Buckley,,1,u,1
1926,Betty Everett,,1,u,9
1927,Long John Baldry,,2,v,0
1928,Pentangle,,8,u,3
1929,Bob Mould,,7,u,2
1930,Brian Wilson,,18,u,2
1931,Del Shannon,,13,u,0
1932,Dr. Feelgood,,18,j,0
1933,Percy Mayfield,,22,v,9
1934,Brinsley Schwarz,,12,u,0
1935,Dan Penn,,10,u,9
1936,Colin Blunstone,,8,u,2
1937,Charlie Louvin,,5,v,5
1938,The Faint,,1,F,2
1939,Eurythmics,,19,u,2
1940,Love and Rockets,,5,u,2
1941,The The,,7,u,2
1942,A Flock of Seagulls,,9,u,2
1943,Death in Vegas,,6,F,2
1944,Thomas Dolby,,9,u,2
1945,The Chords,,0,u,2
1946,Little Willie John,,14,v,9
1947,The Lettermen,,4,u,1
1948,Bernie Worrell,,1,u,9
1949,The Sonics,,15,l,0
1950,King Curtis,,16,u,9
1951,Bleeding Through,,1,u,8
1952,Emperor,,4,a,8
1953,B.T. Express,,0,u,9
1954,The Explosion,,0,u,14
1955,The Business,,4,u,14
1956,Blitz,,4,u,14
1957,Autograph,,0,u,8
1958,The Coral,,0,u,2
1959,Julian Cope,,6,u,2
1960,The Proclaimers,,7,u,2
1961,The Strokes,,17,u,2
1962,The Teardrop Explodes,,16,u,2
1963,Stereophonics,,3,u,2
1964,Mungo Jerry,,2,u,8
1965,The Jackson 5,,32,u,9
1966,The Whispers,,8,u,9
1967,The Brothers Johnson,,3,u,9
1968,DeBarge,,6,u,9
1969,Morris Day,,4,u,9
1970,The Modern Lovers,,25,u,2
1971,Freddie Jackson,,4,u,9
1972,Luther Vandross,,38,u,9
1973,Lionel Richie,,12,u,9
1974,Jon Lucien,,7,M,9
1975,Baaba Maal,,4,u,2
1976,Manu Dibango,,7,u,2
1977,Hugh Masekela,,5,u,6
1978,Orchestra Baobab,,2,v,7
1979,The Penguins,,9,v,1
1980,Johnny Kidd & the Pirates,,11,u,0
1981,Dick Dale,,16,u,0
1982,Beulah,,4,u,2
1983,Yo La Tengo,,15,u,2
1984,Babylon A.D.,,0,u,8
1985,Mike Seeger,,6,u,5
1986,Bachman-Turner Overdrive,,10,u,0
1987,Bobby Rydell,,1,u,0
1988,Avant,,0,u,9
1989,Brian McKnight,,19,u,9
1990,Avalon,,0,u,5
1991,The Clientele,,0,u,2
1992,The Walker Brothers,,5,u,2
1993,Felt,,5,u,2
1994,Chad & Jeremy,,1,u,2
1995,Frankie Avalon,,5,u,1
1996,Bobby Sherman,,2,u,1
1997,Circle Jerks,,22,u,14
1998,The Vibrators,,3,u,14
1999,Stiff Little Fingers,,20,u,14
2000,Blue Rodeo,,2,u,2
2001,Ian Tyson,,5,u,3
2002,My Chemical Romance,,8,u,8
2003,The Receiving End of Sirens,,0,u,8
2004,The Ravens,,5,v,1
2005,The Hooters,,0,u,2
2006,Jimmy Martin,,10,u,5
2007,Flatt & Scruggs,,32,u,5
2008,Chuck Willis,,2,v,9
2009,Bill Henderson,,0,v,1
2010,Dick Haymes,,2,v,1
2011,Michael Ball,,1,u,1
2012,Biffy Clyro,,0,u,14
2013,Jeff Lynne,,8,u,2
2014,"Bobby ""Boris"" Pickett",,0,v,4
2015,Ahmad Jamal,,19,u,6
2016,Bob James,,9,u,6
2017,Vince Guaraldi,,6,u,6
2018,Les McCann,,9,V,6
2019,Ramsey Lewis,,11,u,6
2020,Wynton Kelly,,7,u,6
2021,Gene Harris,,4,u,6
2022,The Congos,,7,u,13
2023,Yabby You,,1,v,13
2024,Bobby Bare,,10,u,5
2025,Conway Twitty,,30,u,5
2026,The Flys,,0,u,8
2027,Paul Bley,,8,u,6
2028,Barney Kessel,,14,v,6
2029,Bola Sete,,1,v,6
2030,Tal Farlow,,14,v,6
2031,The Field Mice,,2,u,2
2032,Billy Lee Riley,,9,v,0
2033,Cisco Houston,,10,v,3
2034,Ewan MacColl,,28,v,3
2035,Roscoe Holcomb,,14,v,5
2036,Elizabeth Cotten,,16,v,3
2037,John Jacob Niles,,6,v,3
2038,Mississippi Sheiks,,3,v,1
2039,SeÃ¡n Ã“ Riada,,3,v,3
2040,The Chieftains,,14,v,3
2041,Los Fabulosos Cadillacs,,3,u,14
2042,BabasÃ³nicos,,0,u,14
2043,Oscar Lopez,,2,v,14
2044,ManÃ¡,,11,u,7
2045,The Chemical Brothers,,19,u,2
2046,Happy Mondays,,25,u,2
2047,Big Audio Dynamite,,18,u,2
2048,This Mortal Coil,,3,u,2
2049,M/A/R/R/S,,7,u,2
2050,The Bobbettes,,2,v,1
2051,Marty Stuart,,3,u,5
2052,Eddie Rabbitt,,12,u,5
2053,Joe Walsh,,7,l,0
2054,Jimmy Raney,,5,v,6
2055,Johnny Smith,,5,v,6
2056,B2K,,2,u,9
2057,Kenny G,,4,u,6
2058,Jeff Lorber,,1,u,6
2059,John Klemmer,,5,u,6
2060,Lee Ritenour,,3,u,6
2061,Narada Michael Walden,,3,v,6
2062,Kashif,,2,v,6
2063,Hank Crawford,,8,u,6
2064,Tom Scott,,2,u,6
2065,Lydia Lunch,,8,u,2
2066,The Runaways,,19,u,8
2067,Girlschool,,3,u,8
2068,Peggy Seeger,,5,v,3
2069,Paul Desmond,,1,u,6
2070,Bob Marley & the Wailers,,5,u,9
2071,Eddie Money,,12,u,0
2072,Peter Frampton,,7,u,0
2073,Meat Loaf,,9,u,8
2074,Night Ranger,,3,u,8
2075,Montrose,,10,u,8
2076,Asia,,5,u,8
2077,The Dubliners,,10,v,3
2078,The Irish Rovers,,1,v,3
2079,Bill Keith,,0,v,5
2080,Earl Scruggs,,3,v,5
2081,Roger Miller,,16,u,5
2082,Johnny Horton,,14,v,5
2083,Harry Chapin,,8,u,3
2084,John Denver,,8,u,3
2085,Dick Gregory,,2,v,4
2086,Bill Cosby,,9,u,4
2087,Mel Brooks,,3,v,4
2088,Gossip,,0,u,2
2089,'Til Tuesday,,4,u,2
2090,The Breeders,,6,u,2
2091,The White Stripes,,10,u,0
2092,Big Mountain,,0,u,13
2093,Third World,,1,u,13
2094,The Selecter,,10,T,13
2095,Israel Vibration,,5,u,13
2096,Tommy James,,3,v,14
2097,The Greenhornes,,0,u,0
2098,The Fugitives,,1,v,0
2099,The Gories,,4,j,0
2100,Ian & Sylvia,,18,u,3
2101,The Modernaires,,2,v,1
2102,The Pied Pipers,,3,v,1
2103,Il Divo,,0,u,1
2104,Michael Crawford,,3,u,1
2105,Bill Callahan,,0,u,3
2106,Ernest Tubb,,52,v,5
2107,The Kentucky Headhunters,,1,u,5
2108,REO Speedwagon,,13,u,0
2109,Ikon,,0,u,2
2110,Martin Gore,,1,u,2
2111,Psychic TV,,7,u,8
2112,Circa Survive,,0,u,14
2113,Finch,,2,u,14
2114,UnderÃ¸ath,,2,u,14
2115,The Handsome Family,,0,h,5
2116,Delaney & Bonnie,,7,u,1
2117,The Gap Band,,5,u,9
2118,"Earth, Wind & Fire",,35,u,9
2119,Archie Bell & the Drells,,9,u,9
2120,Bob Schneider,,0,h,3
2121,Bill Fay,,0,u,3
2122,Dave Bartholomew,,8,v,9
2123,Lloyd Price,,8,v,9
2124,Kelly Rowland,,1,u,1
2125,Beverley Knight,,4,u,1
2126,The Cleftones,,1,u,1
2127,Jon Foreman,,0,u,2
2128,The Limeliters,,6,u,3
2129,Bill Frisell,,3,u,6
2130,Jim Hall,,7,u,6
2131,Gary Burton,,4,u,6
2132,Pat Martino,,8,u,6
2133,Bobby Day,,2,v,9
2134,Jesse Belvin,,4,v,9
2135,The Hives,,0,u,0
2136,The Electric Prunes,,4,u,2
2137,The Real Kids,,6,u,0
2138,Lyres,,3,u,0
2139,Bill Bruford,,0,u,6
2140,Soft Machine,,23,u,2
2141,Skinny Puppy,,14,u,2
2142,John Tesh,,1,u,6
2143,Ken Elkinson,,0,u,6
2144,Mikey Dread,,1,u,13
2145,Cornell Campbell,,3,u,13
2146,Alton Ellis,,16,u,13
2147,The Jeff Healey Band,,0,u,0
2148,Chris Rea,,7,u,0
2149,Johnny Winter,,17,u,0
2150,Bob Sinclar,,1,u,9
2151,Bad Manners,,7,T,14
2152,Prince Buster,,17,A,13
2153,Millie Small,,1,v,14
2154,Roxette,,4,t,1
2155,Natalie Merchant,,4,u,3
2156,Sophie B. Hawkins,,1,t,3
2157,The Waterboys,,11,u,3
2158,Ian Hunter,,9,l,0
2159,Prince Far I,,6,u,13
2160,Billy Ray Cyrus,,5,u,5
2161,David Gates,,2,v,5
2162,"Richard ""Groove"" Holmes",,2,u,6
2163,Cowboy Troy,,0,u,5
2164,Jerry Reed,,7,u,0
2165,Big & Rich,,2,u,5
2166,Junior Parker,,8,v,0
2167,Brownie McGhee,,4,v,3
2168,The Meters,,29,u,9
2169,Bad English,,0,u,8
2170,Ivie Anderson,,4,v,1
2171,Bobby Short,,2,v,1
2172,Information Society,,0,u,2
2173,Heaven 17,,4,u,2
2174,The Art of Noise,,16,O,2
2175,King Pleasure,,3,v,1
2176,Slim & Slam,,1,v,1
2177,Bobby Vee,,2,u,0
2178,Youth Group,,0,u,2
2179,Badly Drawn Boy,,3,o,3
2180,Alphaville,,5,u,2
2181,The Commitments,,0,u,9
2182,Johnny Nash,,4,v,9
2183,Body Count,,6,u,8
2184,The Communards,,0,u,2
2185,Culture Club,,11,u,2
2186,Inner Circle,,1,u,13
2187,Bounty Killer,,2,u,13
2188,Frankie Paul,,9,u,13
2189,Wayne Smith,,6,u,13
2190,Max Romeo,,4,T,13
2191,A Certain Ratio,,8,u,2
2192,Billy Joel,,23,l,3
2193,Larry Norman,,8,l,0
2194,Phil Keaggy,,2,u,10
2195,Insane Clown Posse,,0,u,8
2196,Rob Zombie,,10,Y,8
2197,GWAR,,6,u,8
2198,Kevin Ayers,,9,u,2
2199,The Bonzo Dog Band,,10,O,2
2200,The Living End,,0,u,0
2201,Midnight Oil,,5,u,0
2202,The Reverend Horton Heat,,4,Y,0
2203,Stray Cats,,1,j,0
2204,Kesha,,1,t,2
2205,Peaches,,4,u,2
2206,The Crew Cuts,,1,v,1
2207,Billy Gilman,,0,u,5
2208,John Michael Montgomery,,7,u,5
2209,Boys Don't Cry,,0,u,2
2210,The Libertines,,5,u,2
2211,Sham 69,,21,u,14
2212,Johnny Thunders & the Heartbreakers,,10,d,8
2213,Anti-Nowhere League,,5,u,14
2214,Gerry Rafferty,,7,u,3
2215,Paul Winter,,3,v,6
2216,Deuter,,3,v,2
2217,Jermaine Jackson,,6,u,9
2218,Keith Washington,,2,u,9
2219,Ray Brown,,11,u,6
2220,Bobby Hutcherson,,3,u,6
2221,Milt Jackson,,7,v,6
2222,Biosphere,,0,u,2
2223,The Orb,,8,u,2
2224,Cher,,12,u,1
2225,Mel Tillis,,6,v,5
2226,Hawkshaw Hawkins,,4,v,5
2227,Michael Martin Murphey,,3,u,5
2228,Mac McAnally,,3,u,5
2229,Lee Greenwood,,7,u,5
2230,Richard Marx,,4,u,5
2231,Rick Springfield,,9,u,0
2232,The Mavericks,,8,u,5
2233,Bryan White,,2,u,5
2234,Black Uhuru,,7,u,13
2235,The Heptones,,11,T,13
2236,Culture,,2,u,13
2237,Billy Currington,,0,u,5
2238,Roy Eldridge,,17,v,6
2239,Kenny Loggins,,0,u,3
2240,Alex de Grassi,,1,u,3
2241,Duke Jordan,,3,v,6
2242,Kenny Drew,,0,u,6
2243,John Lewis,,14,v,6
2244,Hampton Hawes,,5,u,6
2245,Boney James,,0,u,6
2246,Donald Byrd,,6,u,6
2247,Ike Quebec,,1,u,6
2248,Kenny Lattimore,,0,u,9
2249,The Intruders,,0,u,9
2250,Commissioned,,5,u,9
2251,The Winans,,9,u,9
2252,The Clark Sisters,,3,v,9
2253,Charlie Walker,,0,v,5
2254,Boyzone,,7,u,9
2255,Jason Donovan,,6,u,9
2256,Ian Dury,,9,N,9
2257,Kevin Coyne,,8,u,3
2258,The Foundations,,1,v,2
2259,The Creation,,9,u,2
2260,The Outsiders,,1,u,2
2261,Sweet,,24,u,8
2262,Argent,,5,u,8
2263,Kirsty MacColl,,1,u,3
2264,Maddy Prior,,6,u,3
2265,Sandie Shaw,,11,u,1
2266,Richard & Linda Thompson,,6,u,3
2267,LCD Soundsystem,,5,T,2
2268,Kele,,0,u,2
2269,India.Arie,,1,u,1
2270,Dionne Farris,,1,v,1
2271,Cassandra Wilson,,6,J,1
2272,Meshell Ndegeocello,,6,u,1
2273,Michael Hedges,,6,u,3
2274,Keller Williams,,0,u,3
2275,Freddie Mercury,,20,l,1
2276,Kleeer,,1,u,9
2277,Iron and Wine,,2,u,3
2278,Cat Power,,19,m,3
2279,Bongzilla,,0,u,8
2280,Crowbar,,4,u,8
2281,Kelis,,5,u,1
2282,Rick James,,13,u,9
2283,Raphael Saadiq,,15,u,9
2284,Millie Jackson,,4,u,1
2285,Gene Pitney,,12,u,0
2286,Aaron Neville,,6,u,9
2287,The Gaylads,,2,v,13
2288,Mighty Sparrow,,7,u,9
2289,Lord Kitchener,,8,v,13
2290,Wolfmother,,0,u,8
2291,Cinderella,,3,u,8
2292,Queens of the Stone Age,,1,u,8
2293,Karla Bonoff,,2,u,5
2294,Barbara Mandrell,,9,u,5
2295,Irene Cara,,4,u,1
2296,Children of Bodom,,0,u,8
2297,Kelly Clarkson,,4,t,1
2298,Deborah Cox,,2,u,1
2299,Lita Ford,,7,u,8
2300,Alanis Morissette,,22,G,3
2301,P!nk,,13,t,1
2302,The Knack,,8,u,2
2303,The Knickerbockers,,1,u,2
2304,Bay City Rollers,,11,u,0
2305,Graham Parker,,4,u,9
2306,The Nerves,,5,u,2
2307,"Dave Dee, Dozy, Beaky, Mick & Tich",,7,u,0
2308,The McCoys,,1,v,2
2309,Sonny Bono,,1,v,0
2310,Kem,,0,u,9
2311,Al Jarreau,,3,L,9
2312,Ill NiÃ±o,,0,u,8
2313,Nada Surf,,10,u,2
2314,The Juliana Theory,,1,u,2
2315,Hank Ballard,,9,v,0
2316,Kelly Price,,2,u,1
2317,Foghat,,3,u,8
2318,Hoobastank,,1,u,8
2319,Tuck & Patti,,6,u,6
2320,Kindred the Family Soul,,0,u,6
2321,Womack & Womack,,3,v,9
2322,The Jayhawks,,9,u,5
2323,Gene Clark,,9,u,5
2324,Michael Nesmith,,6,u,5
2325,Billy Ocean,,1,u,9
2326,King,,0,u,1
2327,The Jesus Lizard,,4,u,2
2328,The Jets,,0,u,9
2329,The Osmonds,,12,u,9
2330,The Five Stairsteps,,3,u,9
2331,Sun,,1,v,0
2332,Alla Rakha,,3,v,6
2333,Collin Walcott,,0,u,6
2334,Ali Akbar Khan,,2,v,6
2335,The Legendary Pink Dots,,7,u,2
2336,Amanda Palmer,,0,t,2
2337,Christian Death,,9,u,8
2338,Nina Hagen,,9,u,2
2339,Chris Knight,,0,u,5
2340,The Last Poets,,2,J,6
2341,Archie Shepp,,3,u,6
2342,Chely Wright,,2,u,5
2343,Wynonna,,12,u,5
2344,Todd Terry,,8,u,2
2345,Black Box,,1,u,2
2346,Giorgio Moroder,,27,u,2
2347,Loleatta Holloway,,1,u,9
2348,King Floyd,,1,u,9
2349,Hawk Nelson,,0,u,14
2350,Third Day,,5,u,8
2351,Eddie & the Hot Rods,,5,u,0
2352,Colosseum,,1,u,0
2353,Freddie King,,18,u,0
2354,James Horner,,1,u,6
2355,Patrick Doyle,,0,u,6
2356,John Williams,,6,u,6
2357,The Dictators,,8,u,0
2358,Chevelle,,0,u,8
2359,Clutch,,3,u,8
2360,Joe Strummer,,8,u,14
2361,Black Grape,,0,u,2
2362,Black Ivory,,0,u,9
2363,King Radio,,0,u,14
2364,Keyshia Cole,,1,u,1
2365,Monica,,11,u,1
2366,Aaliyah,,27,u,1
2367,Xscape,,4,u,1
2368,Christina Aguilera,,23,t,1
2369,The Bottle Rockets,,0,u,5
2370,Harold Melvin,,8,v,9
2371,Black Label Society,,0,u,8
2372,Monster Magnet,,1,u,8
2373,Fu Manchu,,1,u,8
2374,Inspiral Carpets,,10,u,2
2375,The Stranglers,,13,u,0
2376,Robert Palmer,,8,u,9
2377,James Booker,,5,u,9
2378,Harry Belafonte,,12,v,9
2379,Black Oak Arkansas,,3,u,8
2380,Bowery Electric,,0,H,2
2381,Spiritualized,,20,u,2
2382,Koffee Brown,,0,u,9
2383,Tony! Toni! TonÃ©!,,6,u,9
2384,Mint Condition,,1,u,9
2385,Bow Wow Wow,,7,u,2
2386,Adam Ant,,8,u,2
2387,Mother Maybelle Carter,,8,v,5
2388,Hank Thompson,,17,v,5
2389,Clark Terry,,8,v,6
2390,Zoot Sims,,6,u,6
2391,Kenny Dorham,,5,u,6
2392,Mickey & Sylvia,,1,v,1
2393,The Rance Allen Group,,2,u,9
2394,Imogen Heap,,3,W,2
2395,Flora Purim,,2,u,1
2396,Todd Edwards,,3,u,2
2397,Laurie Anderson,,5,u,2
2398,Kings of Convenience,,1,u,3
2399,a-ha,,4,u,2
2400,The Sea and Cake,,5,u,2
2401,Art Garfunkel,,8,u,3
2402,Aimee Mann,,16,u,3
2403,Gong,,9,I,2
2404,Bonobo,,1,u,2
2405,Chico Buarque,,8,u,7
